"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1689934258130100225","Fri Aug 11 09:38:19 +0000 2023","0","Kai Access lagi gangguan ya? @KAI121","1689934258130100225","","","in","","1","3","0","https://x.com/undefined/status/1689934258130100225","490997396",
"1689931984628588545","Fri Aug 11 09:29:17 +0000 2023","0","halo ada yg bs pake app kai access","1689931984628588545","","","in","","0","3","0","https://x.com/undefined/status/1689931984628588545","614136774",
"1689125470116384768","Fri Aug 11 09:25:46 +0000 2023","0","@hendrahehe @furphynana @noveld_ Selamat sore Kak Railmin mohon maaf apabila aplikasi Access by KAI saat ini belum memenuhi harapan. Kritik yang Kakak berikan menjadi evaluasi bagi kami untuk peningkatan layanan. Mengenai kendala login agar dapat kami cek mohon kirimkan data akun Access by KAI yang terdaftar","1689931100448243712","","hendrahehe","in","","0","0","0","https://x.com/undefined/status/1689931100448243712","516165629",
"1689788111801470978","Fri Aug 11 09:17:53 +0000 2023","0","@searchformemeee Selamat sore Kak. Untuk upgrade premium pada akun Access by KAI yang dimiliki dapat Railmin bantu mohon melengkapi data-data berikut ini: Nama pengguna: Nomor identitas pengguna: Alamat email yang terdaftar: Nomor handphone yang terdaftar: Hobi: ","1689929118148964353","","searchformemeee","in","","0","1","0","https://x.com/undefined/status/1689929118148964353","516165629",
"1689802427304947712","Fri Aug 11 09:00:06 +0000 2023","0","@irwanar210200 Selamat sore. Mohon maaf atas ketidaknyamanannya. Tentunya update aplikasi Access by KAI akan terus dilakukan evaluasi kedepannya. Agar dapat lebih praktis dan mempermudah penumpang kedepannya dalam melakukan pemesanan dan pembayaran. Trims.","1689924641425657856","","earone21","in","","0","0","0","https://x.com/undefined/status/1689924641425657856","516165629",
"1689498939215761408","Fri Aug 11 08:59:22 +0000 2023","0","@dhie1974 Selamat sore Kak. Untuk upgrade premium pada akun Access by KAI yang dimiliki dapat Railmin bantu mohon melengkapi data-data berikut ini melalui DM: Nama pengguna: Nomor identitas pengguna: Alamat email yang terdaftar: Nomor handphone yang terdaftar: Hobi:","1689924459124432896","","dhie1974","in","","0","0","0","https://x.com/undefined/status/1689924459124432896","516165629",
"1689921407663403008","Fri Aug 11 08:48:33 +0000 2023","0","@rrwbbubie Selamat sore Kak. Dapat kami sampaikan untuk pemesanan tiket Commuter Line Merak rute Rangkasbitung-Krenceng dapat dilakukan di aplikasi Access by KAI ataupun KAI Access mulai H-7 sebelum keberangkatan ya. Terima kasih.","1689921732998774785","","rrwbbubie","in","","0","0","0","https://x.com/undefined/status/1689921732998774785","341987176",
"1689912744269828096","Fri Aug 11 08:38:25 +0000 2023","0","@pastangerine Selamat sore Kak dan mohon maaf. Bila mengalami kendala login pada aplikasi KAI Access mohon kesediaannya melengkapi data-data sebagai berikut via DM : Nama pengguna : Nomor identitas pengguna : Nomor handphone yang terdaftar : Alamat Email yang terdaftar : ","1689919183235260417","","pastangerine","in","","0","0","0","https://x.com/undefined/status/1689919183235260417","516165629",
"1689845168508448768","Fri Aug 11 08:22:33 +0000 2023","0","@puten_hijau Selamat sore. Pembatalan tiket via aplikasi KAI Access bisa dilakukan dengan syarat sebagai berikut: Hanya untuk tiket KA Jarak Jauh. Pastikan nama dan nomor identitas yang tercantum antara tiket dengan akun aplikasi KAI Access sudah sama. Tiket yang berstatus","1689915191805497345","","puten_hijau","in","","0","0","0","https://x.com/undefined/status/1689915191805497345","516165629",
"1689913685618409472","Fri Aug 11 08:16:34 +0000 2023","0","Fitur Anyar Aplikasi KAI Access yang Baru Ditingkatkan https://t.co/RVONpwPQuR https://t.co/gw1JV0WRIX","1689913685618409472","https://pbs.twimg.com/media/F3PHisia0AIB-cM.jpg","","in","","0","0","0","https://x.com/undefined/status/1689913685618409472","1330791552583548932",
"1689909476613406720","Fri Aug 11 08:10:49 +0000 2023","0","@TuanSuryana Selamat sore. Mohon maaf atas ketidaknyamanannya ya. Bisa diinfokan dengan rinci via DM kendala apa yang Kakak alami pada KAI access. Terima kasih.","1689912237404966913","","TuanSuryana","in","","0","1","0","https://x.com/undefined/status/1689912237404966913","516165629",
"1689874569174335488","Fri Aug 11 08:08:32 +0000 2023","0","@wiwiedsuharyadi Selamat sore Kak. Untuk mempermudah Railmin melakukan pengecekan kendala akun aplikasi KAI Access mohon kesediaannya melengkapi data-data sebagai berikut via DM : Nama pengguna : Nomor identitas pengguna : Alamat email yang terdaftar : Nomor handphone yang terdaftar","1689911664135876608","","wiwiedsuharyadi","in","","0","0","0","https://x.com/undefined/status/1689911664135876608","516165629",
"1689498939215761408","Fri Aug 11 07:59:13 +0000 2023","0","@KAI121 Siang min ni KAI access ygvterbaru sdh saya update dan verifikasi awal via sms setelah saya melakukan transaksi pemilihan tiket kereta diharuskan upgrade mamber basic KAI point saat smua sdh diisi saat mau verifikasi sms kok gagal terus knp adakah solusinya","1689909321906462721","","KAI121","in","","2","6","0","https://x.com/undefined/status/1689909321906462721","1168592234809155584",
"1689801163594756096","Fri Aug 11 07:54:23 +0000 2023","0","@KAI121 @j0hnncart KAI access yg terbaru sudah saya update tetapi pada saat upgrade data dan semua nya sdh benar verifikasi sms ke no hp selalu gagal... bgmn ini sedangkan saya buru² buat pembelian tiket KAI.. solusinya bgmn","1689908104299999232","","KAI121","in","","2","8","0","https://x.com/undefined/status/1689908104299999232","1168592234809155584",
"1689903228476137472","Fri Aug 11 07:35:01 +0000 2023","0"," ada yang tau ga cara batalin tiket di kai access?? soalnya sender salah pilih asal stasiun udah klik pembatalan tiket tapi gabisa terus *btw sender pake ka lokal* https://t.co/p2EhmlyjAx","1689903228476137472","https://pbs.twimg.com/media/F3O9BeeasAEMGko.jpg","","in","","0","0","0","https://x.com/undefined/status/1689903228476137472","1331650559518990336",
"1689895008479113216","Fri Aug 11 07:07:00 +0000 2023","0","@sbyfess aku pasar turi - pasar senen(jkt) 450 biyen onok seng ndisore iku tapi gatau nyobak coba sampean cek nang KAI Access","1689896178966802432","","sbyfess","in","","0","1","0","https://x.com/undefined/status/1689896178966802432","1454875479471624197",
"1689893523330654208","Fri Aug 11 06:56:27 +0000 2023","0","Resmi Grand Lounching Aplikasi Access by KAI Gantikan KAI Access Ini Keunggulannya! https://t.co/fgXF5V2NUd","1689893523330654208","","","in","","0","0","0","https://x.com/undefined/status/1689893523330654208","2988491395",
"1689890316500008960","Fri Aug 11 06:49:34 +0000 2023","0","@abdlrzzq Selamat siang Kak. Mohon maaf atas ketidaknyamanannya. Batas transaksi pada aplikasi KAI Access yaitu maksimal 15 kali dalam sehari (termasuk pembatalan perubahan atau pemesanan). Namun apabila belum melakukan 15 transaksi Kakak dapat clear cache aplikasi KAI Access pada","1689891791921934336","","abdlrzzq","in","","0","0","0","https://x.com/undefined/status/1689891791921934336","516165629",
"1689890118885384192","Fri Aug 11 06:42:55 +0000 2023","0","@KAI121 min tolong cek dan respon DM yah sejak app KAI Access berubah jadi Access by KAI kok error ","1689890118885384192","","KAI121","in","","0","1","0","https://x.com/undefined/status/1689890118885384192","265904610",
"1689863505510633472","Fri Aug 11 06:28:28 +0000 2023","0","@nnisaaulias Selamat siang Kak. Tersedia KA Joglosemarkerto dan Banyubiru. Kakak bisa langsung pilih rute dari Stasiun Salem. Silakan cek jadwal dan rute pada aplikasi KAI Access. Trims.","1689886480070750208","","nnisaaulias","in","","0","0","0","https://x.com/undefined/status/1689886480070750208","516165629",
"1689881401716576256","Fri Aug 11 06:13:00 +0000 2023","2","@wiwiedsuharyadi Selamat siang Kak. Mohon maaf atas ketidaknyamanannya. Untuk mempermudah Railmin melakukan pengecekan kendala akun aplikasi KAI Access mohon kesediaannya melengkapi data-data sebagai berikut via DM : Nama pengguna : Nomor identitas pengguna : Alamat email yang","1689882589526720513","","wiwiedsuharyadi","in","","0","0","0","https://x.com/undefined/status/1689882589526720513","516165629",
"1689857363753455617","Fri Aug 11 06:04:17 +0000 2023","0","@wahyuriatri Pembatalan KA Lokal tidak bisa dilakukan di KAI Access kak harus ke loket stasiun.","1689880395213631488","","wahyuyayay","in","","0","0","0","https://x.com/undefined/status/1689880395213631488","596184238",
"1689788111801470978","Fri Aug 11 05:55:09 +0000 2023","0","@israsenjakala Selamat siang Kak. Untuk mempermudah Railmin melakukan pengecekan kendala akun aplikasi KAI Access mohon kesediaannya melengkapi data-data sebagai berikut via DM : Nama pengguna : Nomor identitas pengguna : Alamat email yang terdaftar : Nomor handphone yang","1689878095866806272","","ismiramadhoni18","in","","0","1","0","https://x.com/undefined/status/1689878095866806272","516165629",
"1689788111801470978","Fri Aug 11 05:50:31 +0000 2023","0","@STXCXYSTXC Selamat siang Kak. Perubahan nomor handphone dan alamat email pada akun KAI Access dapat dilakukan. Namun bila melakukan perubahan tersebut maka data yang ada pada My Trips/tiket akan hilang dan tidak dapat ditambahkan ke akun baru. Jika tetap ingin melakukan perubahan nomor","1689876932517830656","","ONSAEMIR0506","in","","0","0","0","https://x.com/undefined/status/1689876932517830656","516165629",
"1689863981379551232","Fri Aug 11 04:59:03 +0000 2023","0","Jakarta https://t.co/wKgHpxyXfk PT Kereta Api Indonesia (Persero) menggelar grand launching aplikasi Access by KAI di The Westin Jakarta Kamis (10/8). https://t.co/snfnvo2R0L https://t.co/X2RvYo5yyU","1689863981379551232","https://pbs.twimg.com/media/F3OaUzzbAAA3JJr.jpg","","in","","0","0","0","https://x.com/undefined/status/1689863981379551232","917728330094280711",
"1689858219102130176","Fri Aug 11 04:36:10 +0000 2023","0","Saatnya download KAI access lagiiii!!!","1689858219102130176","","","in","","0","0","0","https://x.com/undefined/status/1689858219102130176","1467241305705103361",
"1689835120101126144","Fri Aug 11 03:47:37 +0000 2023","0","@lalalicepoo Selamat pagi Kak. Untuk mempermudah Railmin melakukan pengecekan kendala akun aplikasi KAI Access mohon kesediaannya melengkapi data-data sebagai berikut via DM: Nama pengguna : Nomor identitas pengguna : Alamat email yang terdaftar : Nomor handphone yang terdaftar","1689846002692595712","","lalalicepoo","in","","0","0","0","https://x.com/undefined/status/1689846002692595712","516165629",
"1689842019240493056","Fri Aug 11 03:46:12 +0000 2023","0","@tibetibetibe1 Selamat pagi Kak. Perubahan melalui aplikasi KAI Access dapat dilakukan selama data pada tiket dan akun yang digunakan sesuai. Informasi mengenai prosedur perubahan tiket melalui aplikasi KAI Access silakan cek link berikut https://t.co/4tLs9sVdoV (aplikasi KAI Access). Bisa","1689845645950238720","","tibetibetibe1","in","","0","0","0","https://x.com/undefined/status/1689845645950238720","516165629",
"1689842019240493056","Fri Aug 11 03:31:47 +0000 2023","0","Min @KAI121 mau ubah jadwal tiket gimana ya? Saya coba di KAI Access ngefreeze terus applikasinya tiketnya muncul tapi gak bisa ditambahkan","1689842019240493056","","","in","","0","1","0","https://x.com/undefined/status/1689842019240493056","1060043713206833152",
"1689839828698099712","Fri Aug 11 03:23:05 +0000 2023","1","Beli Tiket LRT Jabodebek hingga Kereta Cepat Jakarta Bandung Bisa di Access by KAI https://t.co/Cmptvc37ae","1689839828698099712","","","in","","0","0","1","https://x.com/undefined/status/1689839828698099712","47596019",
"1689827763585466369","Fri Aug 11 03:14:44 +0000 2023","5","@keretaapikita Min pas mau pesen tiket via Kai access disuruh update basic akun pas daftar update basic akun munculnya gini. https://t.co/vKsjYAV7nO","1689837726051581952","https://pbs.twimg.com/media/F3OCdPLbAAAC6I_.jpg","keretaapikita","in","","0","1","0","https://x.com/undefined/status/1689837726051581952","76302957",
"1689827763585466369","Fri Aug 11 02:35:10 +0000 2023","0","Perubahan KAI Access menjadi Access ini berawal dari masukan para pelanggan di Playstore App Store Contact Center CC121 survei kepuasan pelanggan serta konsultan KAI.","1689827768287285248","","keretaapikita","in","","0","1","0","https://x.com/undefined/status/1689827768287285248","378403540",
"1689827763585466369","Fri Aug 11 02:35:09 +0000 2023","0","Aplikasi Access merupakan revamp atau peningkatan kinerja aplikasi pemesanan tiket KA yang sebelumnya bernama KAI Access .","1689827766332686336","","keretaapikita","in","","0","1","0","https://x.com/undefined/status/1689827766332686336","378403540",
"1689827763585466369","Fri Aug 11 02:35:08 +0000 2023","88","Upgrade Aplikasi KAI Lakukan Grand Launching Access #Railfriends PT Kereta Api Indonesia (Persero) menggelar grand launching aplikasi Access by KAI di The Westin Jakarta Kamis (10/8). https://t.co/gbcoXzgrE2","1689827763585466369","https://pbs.twimg.com/media/F3N47xOaMAAtkha.jpg","","in","","59","57","28","https://x.com/undefined/status/1689827763585466369","378403540",
"1689801631251247104","Fri Aug 11 01:56:52 +0000 2023","0","@martin_rachmant Selamat pagi Kak. Mohon maaf saat ini tidak ada gangguan pada aplikasi KAI Access. Mengenai kendala yang dialami Railmin sarankan bisa coba clear cache/data atau restart aplikasi terlebih dahulu kemudian login kembali. Pastikan koneksi jaringan dalam keadaan stabil (tanpa","1689818133480284161","","martin_rachmant","in","","0","0","0","https://x.com/undefined/status/1689818133480284161","516165629",
"1689804349906792448","Fri Aug 11 01:53:44 +0000 2023","0","@marafauziya Selamat pagi Kak. Untuk mempermudah Railmin melakukan pengecekan kendala akun aplikasi KAI Access mohon kesediaannya melengkapi data-data sebagai berikut via DM ya: Nama pengguna : Nomor identitas pengguna : Alamat email yang terdaftar : Nomor handphone yang","1689817341260083201","","marafauziya","in","","0","1","0","https://x.com/undefined/status/1689817341260083201","516165629",
