id_str,created_at,user_id_str,conversation_id_str,full_text,label
1608764220451213313,Fri Dec 30 09:57:34 +0000 2022,230609460,1608764220451213313,udah beli tiket di aplikasi kaiaccess dan saat pembelian dan pembayaran mengikutsertakan asuransi perjalanan Sompo Insurance Indonesia tetapi belum ada imel masuk dari asuransi utk polisnya bagaimana ini @KAI121 ?,NEGATIF
1608631716184489986,Fri Dec 30 01:11:02 +0000 2022,1158718283870138368,1608631716184489986,@KAI121 kenapa gabisa pake ovo buat pembayaran kaiaccess min ?,NEGATIF
1608263340564058116,Thu Dec 29 00:47:15 +0000 2022,1250731212471074816,1608263340564058116,@KAI121 min saya mau ubah no. Hp yang ada di kaiaccess. Mohon bantuannya min,NETRAL
1608235238366535680,Wed Dec 28 22:55:35 +0000 2022,120352418,1608227080503955458,Waktunya menikmati pemandangan sepanjang perjalanan ini ditemani segelas teh premium nikmat dan segar. Pesannya tadi lewat #KAIAccess dan bayarnya pakai gopay. Mudah dan praktis. @KAI121 https://t.co/aJlrNQTLUE,POSITIF
1608049638111850496,Wed Dec 28 10:38:04 +0000 2022,967360502652223489,1608049638111850496,@KAI121 kenapa KAIAccess dari kemaren susah di acces loading terus,NEGATIF
1607954768332492802,Wed Dec 28 04:21:05 +0000 2022,1010877687932440577,1607954768332492802,@KAI121 halo saya abis beli tiket kereta di aplikasi kaiaccess udah saya bayar saldo saya kepotong tapi tiketnya belum kebeli sedangkan batas waktu habis dan tiket ga terbit,NEGATIF
1607943108934914049,Wed Dec 28 03:34:45 +0000 2022,71733078,1607943108934914049,@KAI121 min aplikasi kaiaccess lagi ngadat kah? berat banget skg ngeload datanya. giliran udah tampil sering banget gabisa diproses munculnya server bekerja terlalu keras. Kalian ada masalah apa? tolong segera cari bantuan biar segera maksimal dalam pelayanan.,NEGATIF
1607879185586061312,Tue Dec 27 23:20:45 +0000 2022,438072886,1607879185586061312,ada yang tau jam buka loket stasiun sidoarjo beli tiket kereta bukanya jam berapa? mau beli tiket yg keberangkatan pagi soalnya takut belum buka beli nde kaiaccess ga punya saldo samsek :( Sdf!,NEGATIF
1607755461062950912,Tue Dec 27 15:09:07 +0000 2022,414602951,1607755461062950912,Halo @KAI121 apps nya lagi under constructions apa jaringan sinyal @myXLCare yg kurang baik di Cilacap? Bolak-balik-bolak matiin mode pesawat masuk App #KaiAccess ga bisa² mau pesen tiket aja masha alloh sabar...sabar... https://t.co/bbx3ZOOaCv,NEGATIF
1607603636284325890,Tue Dec 27 05:05:49 +0000 2022,359810843,1607603636284325890,@KAI121 Hallo @KAI121 kenapaa app KAIaccess tidak bisa digunakan yaa?,NEGATIF
1607588830529585153,Tue Dec 27 04:06:59 +0000 2022,359810843,1607527564641439744,@KAI121 Hallo @KAI121 kenapaa app KAIaccess tidak bisa digunakan yaa?,NEGATIF
1607510881843425281,Mon Dec 26 22:57:14 +0000 2022,1225682846276210690,1607510881843425281,Min min @KAI121 apalikasi kaiaccess error ya? Please benerin butuh bgt right now! :),NEGATIF
1607483226922307586,Mon Dec 26 21:07:21 +0000 2022,83077302,1607483226922307586,Min server KAIaccess bermasalah ya @KAI121 @CommuterLine mau pesen tiket lokal dari tadi ga bisa-bisa. Server sedang bekerja keras katanya ,NEGATIF
1607271726261604352,Mon Dec 26 07:06:55 +0000 2022,188367402,1607271676445876224,**note: kurang²in gimmick kereta panoramic dan kereta wisata fafifu wasweswos yg ngendorse pake seleb. @KAI121 @KemenBUMN @kemenhub151 @erickthohir #KeretaPanoramics #TiketKeretaMahal #KAIAccess,NEGATIF
1607140405602320384,Sun Dec 25 22:25:06 +0000 2022,822707634562154496,1607140087795683330,@undipmenfess Klo udh bisa beli lewat KAIaccess berarti udh valid vaksinnya. Skrg semua data sudah sync lewat NIK kamu,POSITIF
1606721995961683968,Sat Dec 24 18:42:29 +0000 2022,906453003640520704,1606721995961683968,Min @KAI121 cara hapus booking pemesanan tiket a.n. orang lain di KAIAccess gimana ya biar kode booking bisa d tambah ke akun KAIAccess penumpang?,NETRAL
1606436098590347264,Fri Dec 23 23:46:26 +0000 2022,262085343,1606434945018531841,Biasanya pesen tiket via kaiaccess biar gausah cetak boarding pass tp krn bbrp mgg kmrn ada drama nomor keblokir jd gbs pesen dan akhirnya pesan di merchant lain. Gpp sih cuma ya itu jd harus cetak boarding pass dulu ,NEGATIF
1606061695025270803,Thu Dec 22 22:58:41 +0000 2022,291519931,1606061695025270803,@KAI121 min saya cek KAIaccess kereta baturraden ekspress kok tidak bisa dipesan di tgl 2 januari ya? Padahal pengumumannya tersedia dari 22 desember 2022 - 8 januari 2023,NEGATIF
1605438833230651397,Wed Dec 21 05:43:40 +0000 2022,1280067141220196352,1605438833230651397,kode ini suka gk pasti si yg jelas kalo pesen di Kaiaccess pas mau pesen itu ada keterangan EKO-1 (ekonomi biasa gerbong 1) atau PRE-1 (ekonomi premium gerbong 1) biar next gk salah kereta. tapi memang menyayangkan dengan fasilitas yg jelas ekonomi biasa ini dihargai 400k:'),NEGATIF
1604693656971411456,Mon Dec 19 04:22:36 +0000 2022,1336127263201320961,1604494208282546176,@MenfessUnej Sering2 cek nder pake app KAIaccess.. biasane ada yg batalin malem nanti atau besok.. saranku nek ketemu 1 lgsung gercep pesen ga usah milih2 kursi langsung neng pembayaran pokok,NETRAL
1604342468983410688,Sun Dec 18 05:07:06 +0000 2022,1339513659375042561,1604284488070008833,@jogmfs Cek kaiaccess nder kemaren liat dari jkt ke jogja sisa yang 400an,NETRAL
1602219522882424832,Mon Dec 12 08:31:16 +0000 2022,1519685530388406275,1601768847300001793,@KAI121 Halo ini aplikasi kaiaccess sedang tidak bisa digunakan ya?,NEGATIF
1602215284190113792,Mon Dec 12 08:14:26 +0000 2022,1215659753147228160,1602215284190113792,Pesennya sih masih jam 11.45 dan nggk sadar kalo ada promo KAI Pas mau bayar sampe waktunya habis pun di jam 12.51 masih gabisa bayar Padahal nggk ikut war tiket cuma mau bayar doang lewat mbanking gabisa @KAI121 @keretaapikita #KAIAccess #KAIAccessDown,NEGATIF
1602195542385520640,Mon Dec 12 06:55:59 +0000 2022,1281585105698357248,1602195542385520640,Tolong dong ini gimana.bokap lagi ada tugas dadakan n gabisa balik gimana ini #KAIAccess @KAI121 https://t.co/HYwUDf7NcZ,NEGATIF
1602189186114560001,Mon Dec 12 06:30:43 +0000 2022,3007675446,1602189186114560001,Gak ada Niatan perbaikin Aplikasi KKAI ACCESS Min? @KAI121 #KAIAccess,POSITIF
1602181132908261377,Mon Dec 12 05:58:43 +0000 2022,511228912,1602181132908261377,BM pingin ke-keretaan tapi apa daya kalau pergi nya sendirian gak bs menikmati nikmatnya popmie berdua aishhh. #KAIAccess https://t.co/D9lZ6Q6Ba9,POSITIF
1601998542482309121,Sun Dec 11 17:53:10 +0000 2022,1545050805601898498,1601998542482309121,Minnn ini aku udah kepotong tp kenapa msh belom bisaaaaa sih trs di app belom ditulis udh bs bayar jg @KAIAccess https://t.co/mu3kIqnzW5,NEGATIF
1601992931254337536,Sun Dec 11 17:30:53 +0000 2022,1091336811371089920,1601992931254337536,Mohon diperbaiki dong sistem software aplikasi #KAIAccess masuk aplikasi langsung down internetnya. Mohon tanggapannya. Gimana mau ikut flashsale:) @KAI121 @KemenBUMN,POSITIF
1601987336925229058,Sun Dec 11 17:08:39 +0000 2022,1080053934528487424,1601987336925229058,Ngewar tiket gini mulu masih dapet gk ya #KAIAccess https://t.co/Ge2hDej4ZA,NEGATIF
1598846946726547458,Sat Dec 03 01:09:51 +0000 2022,710394355115286528,1598490106285150208,@AryaSinulingga Aku yg baru 2x main ke bandung naik kereta terheran2 dengan 'Parahyangan Bisnis'. Ada 3 kemungkinan: 1. Belum pernah naik kereta 2. Dan kl naik kereta aja ga pnh pastiny ga puny aplikasi KAIAccess 3. Malas baca pinginnya cepat mangap,NEGATIF
1872846054749815224,Sat Dec 28 03:24:29 +0000 2024,178230025,1872845143210099058,cek kaiaccess dulu,NETRAL
1871622068237930508,Tue Dec 24 18:20:48 +0000 2024,116428656,1871345142214676789,@KAI121 Selamat Pagi min untuk pembelian tiket KA Dhoho via KAIaccess apakah ada gangguan? Terima kasih,POSITIF
1870805854179746091,Sun Dec 22 12:17:28 +0000 2024,1611513806970290176,1870805854179746091,Tadi siang iseng ngecek menu lewat kaiaccess pas di KA Sancaka hahahahhaha nda jadi pesen ,NETRAL
1870387561027543483,Sat Dec 21 08:35:19 +0000 2024,1382826519744049155,1870387561027543483,Grogi taaah sampe lupa password kaiaccess deuh,NETRAL
1870317921836450049,Sat Dec 21 03:58:36 +0000 2024,1321002256708161537,1870317921836450049,Wtb 2 tiket kai kereta lokal cikarang-karawang jam 13.20 plis bayar dua kali lipat gapapaa #zonauang #kereta #kaiaccess,NETRAL
1870317642973941871,Sat Dec 21 03:57:29 +0000 2024,1321002256708161537,1870317642973941871,Wts 2 tiket kereta kai lokal cikarang karawang walahar 11.30 21 Desember 2024 #kai #kaiaccess #kereta,NETRAL
1869973209833185607,Fri Dec 20 05:08:50 +0000 2024,1134294052696813568,1869972604699980037,Kayak tetep aja khawatir kayak aku td salah masuk gerbong ga ya? Atau kadang deg2an tiap org lalu lalang merhatiin kursi kita (padahal aslinya kita dah bener tp mereka ngira itu kursi mereka). Dan mungkin bisa menghindari dari perdebatan yang bbrp kali jg terjadi :D #KAIACCESS,NEGATIF
1869154591155315155,Tue Dec 17 22:55:56 +0000 2024,414556845,1869154591155315155,@KAI121 Halo Min saya mengalami kendala saat login akun KAIaccess muncul keterangan akun sedang digunakan di perangkat lain sedangkan saya hanya login di 1 perangkat saja dan tidak pernah sama sekali login di perangkat lain.,NEGATIF
1867981302743568767,Sat Dec 14 17:13:42 +0000 2024,1058551290177835008,1867981302743568767,eh tai kaiaccess error2nya pas jam war gini ya allah gimana gw balik minggu depaaannnn,NEGATIF
1867800648579989590,Sat Dec 14 05:15:51 +0000 2024,1850503285805051906,1867797710356820086,@sourgrps OALAAH trs itu pesennya di kaiaccess jg kah?,NETRAL
1867668474736390305,Fri Dec 13 20:30:38 +0000 2024,1390618561777864713,1867546875534168494,@refichu @isaacxqf @kallpweteir @broccoza @junnskyyy @CErine_JKT48 lewat aplikasi KAIaccess,NETRAL
1867170022000586878,Thu Dec 12 11:29:58 +0000 2024,1334376774981931009,1867164108786909422,@ackerwati Coba DM twt kaiaccess langsung aja,NETRAL
1867086685609267621,Thu Dec 12 05:58:49 +0000 2024,574574203,1867086685609267621,Beli tiketnya berhasil. Tapi kaiaccess dan livin adalah kombo bau.. payment aku yg 99rb masih nyangkut belum balik. 3kali payment pertama udah refund kedua nyangkut tiga kalinya berhasil https://t.co/q7dOh9ldsl,NEGATIF
1867044828686819624,Thu Dec 12 03:12:29 +0000 2024,1068438322899349504,1867044824786108920,Saya telah melakukan pelaporan melalui telepon tapi sampai sekarang sudah 2 minggu lebih uang saya tidak kembali2 setiap saya WA @KAI121 jawabnnya tetap sama sedang dalam proses .Mohon tuntaskan masalah ini. #kaiaccess #kai121,NEGATIF
1866461558022480278,Tue Dec 10 12:34:47 +0000 2024,1429829255626559492,1866461558022480278,ada yg butuh tiket KA sritanjung tujuan Lempuyangan besok (Rabu 11 Des 2024)? Sayang kalau kecancel/refund Siapatau ada yg butuh bisa lgsg PC ya trims #zonauang️ #zonaba #KAIaccess #tiketkereta #transfertiket https://t.co/eYA6Tdu6He,NETRAL
1864522130207199369,Thu Dec 05 04:08:11 +0000 2024,98555083,1864522130207199369,@CommuterLine 5 nov 24 sy beli tiket krl rute st karet-bekasi via apk kaiaccess tp setelah saldo kepotong tiket gak pernah nongol,NEGATIF
1859289924408836191,Wed Nov 20 17:37:16 +0000 2024,1466026498817679368,1859289924408836191,min akun KAIaccess sy menggunakan nik ibu kalau saya mau membatalkan perjalanan saya ga bisa ya? ga bisa batalkan melalui aplikasi kalau atas namanya bukan pemilik akun? apakah ada solusi lain? @KAI121,NEGATIF
1858501062686359759,Mon Nov 18 13:22:37 +0000 2024,101914451,1858501062686359759,Udah lama ga compare harga tiket kereta jarak jauh lintas platform krn udh pelanggan setia via kaiaccess. Dengan harga normal si tiket paling mahal ye krn ada biaya jasa segala selain 7.5k klo apps laen cuma plus 7 5k kalo kai access ya g ada 7.5k nya hehe.,NETRAL
1856726118071685295,Wed Nov 13 15:49:37 +0000 2024,97427261,1856726118071685295,gak ada diskon tiket kereta kah ini sering beli tp gapernah dpt voucher atau apa kek lewat kaiaccess,NETRAL
1854859068718170389,Fri Nov 08 12:10:38 +0000 2024,785128426948534272,1854859068718170389,@KAI121 min tlg tanya tiap saya mau belk tiket di kaiaccess kok selalu dibilang belum upgrade ke member basic dan berulang kali sudah upgrade tp kok gitu terus ini salahnya di mana ya?,NEGATIF
1854529795549544942,Thu Nov 07 14:22:13 +0000 2024,1083418277525606400,1854529795549544942,yg butuh tiket kereta ke sby di hari minggu tgl 10 (atau dari sby ke malang untuk hari senin tgl 11) boleh reply yaa #zonauang #tiketkereta #kaiaccess #kai,NETRAL
1854049783566184935,Wed Nov 06 06:34:49 +0000 2024,2485381298,1854049783566184935,@KAI121 ada issue apa ya?? Daritadi sy pesan kereta di tiketdotcom dan kaiaccess muter2 terus.,NEGATIF
