id_str,created_at,user_id_str,conversation_id_str,text_clean,label
1608764220451213313,Fri Dec 30 09:57:34 +0000 2022,230609460,1608764220451213313,udah beli tiket di aplikasi kaiaccess dan saat pembelian dan pembayaran mengikutsertakan asuransi perjalanan sompo insurance indonesia tetapi belum ada imel masuk dari asuransi utk polisnya bagaimana ini,NEGATIF
1608631716184489986,Fri Dec 30 01:11:02 +0000 2022,1158718283870138368,1608631716184489986,kenapa gabisa pake ovo buat pembayaran kaiaccess min,NEGATIF
1608263340564058116,Thu Dec 29 00:47:15 +0000 2022,1250731212471074816,1608263340564058116,min saya mau ubah no hp yang ada di kaiaccess mohon bantuannya min,NETRAL
1608235238366535680,Wed Dec 28 22:55:35 +0000 2022,120352418,1608227080503955458,waktunya menikmati pemandangan sepanjang perjalanan ini ditemani segelas teh premium nikmat dan segar pesannya tadi lewat kaiaccess dan bayarnya pakai gopay mudah dan praktis,POSITIF
1608049638111850496,Wed Dec 28 10:38:04 +0000 2022,967360502652223489,1608049638111850496,kenapa kaiaccess dari kemaren susah di acces loading terus,NEGATIF
1607954768332492802,Wed Dec 28 04:21:05 +0000 2022,1010877687932440577,1607954768332492802,halo saya abis beli tiket kereta di aplikasi kaiaccess udah saya bayar saldo saya kepotong tapi tiketnya belum kebeli sedangkan batas waktu habis dan tiket ga terbit,NEGATIF
1607943108934914049,Wed Dec 28 03:34:45 +0000 2022,71733078,1607943108934914049,min aplikasi kaiaccess lagi ngadat kah berat banget skg ngeload datanya giliran udah tampil sering banget gabisa diproses munculnya server bekerja terlalu keras kalian ada masalah apa tolong segera cari bantuan biar segera maksimal dalam pelayanan,NEGATIF
1607879185586061312,Tue Dec 27 23:20:45 +0000 2022,438072886,1607879185586061312,ada yang tau jam buka loket stasiun sidoarjo beli tiket kereta bukanya jam berapa mau beli tiket yg keberangkatan pagi soalnya takut belum buka beli nde kaiaccess ga punya saldo samsek sdf,NEGATIF
1607755461062950912,Tue Dec 27 15:09:07 +0000 2022,414602951,1607755461062950912,halo apps nya lagi under constructions apa jaringan sinyal yg kurang baik di cilacap bolak balik bolak matiin mode pesawat masuk app kaiaccess ga bisa² mau pesen tiket aja masha alloh sabar sabar,NEGATIF
1607603636284325890,Tue Dec 27 05:05:49 +0000 2022,359810843,1607603636284325890,hallo kenapaa app kaiaccess tidak bisa digunakan yaa,NEGATIF
1607588830529585153,Tue Dec 27 04:06:59 +0000 2022,359810843,1607527564641439744,hallo kenapaa app kaiaccess tidak bisa digunakan yaa,NEGATIF
1607510881843425281,Mon Dec 26 22:57:14 +0000 2022,1225682846276210690,1607510881843425281,min min apalikasi kaiaccess error ya please benerin butuh bgt right now,NEGATIF
1607483226922307586,Mon Dec 26 21:07:21 +0000 2022,83077302,1607483226922307586,min server kaiaccess bermasalah ya mau pesen tiket lokal dari tadi ga bisa bisa server sedang bekerja keras katanya,NEGATIF
1607271726261604352,Mon Dec 26 07:06:55 +0000 2022,188367402,1607271676445876224,note kurang²in gimmick kereta panoramic dan kereta wisata fafifu wasweswos yg ngendorse pake seleb keretapanoramics tiketkeretamahal kaiaccess,NEGATIF
