location,lang,retweet_count,conversation_id_str,image_url,tweet_url,favorite_count,user_id_str,created_at,full_text,reply_count,username,in_reply_to_screen_name,quote_count,id_str,text_casefold,text_clean,tokens,tokens_stem,text_stemmed,emoji_drop_from_raw,emoji_map_from_raw
,in,0,1608764220451213313,,https://x.com/undefined/status/1608764220451213313,0,230609460,Fri Dec 30 09:57:34 +0000 2022,udah beli tiket di aplikasi kaiaccess dan saat pembelian dan pembayaran mengikutsertakan asuransi perjalanan Sompo Insurance Indonesia tetapi belum ada imel masuk dari asuransi utk polisnya bagaimana ini @KAI121 ?,2,,,0,1608764220451213313,udah beli tiket di aplikasi kaiaccess dan saat pembelian dan pembayaran mengikutsertakan asuransi perjalanan sompo insurance indonesia tetapi belum ada imel masuk dari asuransi utk polisnya bagaimana ini @kai121 ?,udah beli tiket di aplikasi kaiaccess dan saat pembelian dan pembayaran mengikutsertakan asuransi perjalanan sompo insurance indonesia tetapi belum ada imel masuk dari asuransi utk polisnya bagaimana ini,"['udah', 'beli', 'tiket', 'di', 'aplikasi', 'kaiaccess', 'dan', 'saat', 'pembelian', 'dan', 'pembayaran', 'mengikutsertakan', 'asuransi', 'perjalanan', 'sompo', 'insurance', 'indonesia', 'tetapi', 'belum', 'ada', 'imel', 'masuk', 'dari', 'asuransi', 'utk', 'polisnya', 'bagaimana', 'ini']","['udah', 'beli', 'tiket', 'di', 'aplikasi', 'kaiaccess', 'dan', 'saat', 'beli', 'dan', 'bayar', 'mengikutsertakan', 'asuransi', 'jalan', 'sompo', 'insurance', 'indonesia', 'tetapi', 'belum', 'ada', 'imel', 'masuk', 'dari', 'asuransi', 'utk', 'polis', 'bagaimana', 'ini']",udah beli tiket di aplikasi kaiaccess dan saat beli dan bayar mengikutsertakan asuransi jalan sompo insurance indonesia tetapi belum ada imel masuk dari asuransi utk polis bagaimana ini,udah beli tiket di aplikasi kaiaccess dan saat pembelian dan pembayaran mengikutsertakan asuransi perjalanan Sompo Insurance Indonesia tetapi belum ada imel masuk dari asuransi utk polisnya bagaimana ini @KAI121 ?,udah beli tiket di aplikasi kaiaccess dan saat pembelian dan pembayaran mengikutsertakan asuransi perjalanan Sompo Insurance Indonesia tetapi belum ada imel masuk dari asuransi utk polisnya bagaimana ini @KAI121 ?
,in,0,1608631716184489986,,https://x.com/undefined/status/1608631716184489986,0,1158718283870138368,Fri Dec 30 01:11:02 +0000 2022,@KAI121 kenapa gabisa pake ovo buat pembayaran kaiaccess min ?,0,,KAI121,0,1608631716184489986,@kai121 kenapa gabisa pake ovo buat pembayaran kaiaccess min ?,kenapa gabisa pake ovo buat pembayaran kaiaccess min,"['kenapa', 'gabisa', 'pake', 'ovo', 'buat', 'pembayaran', 'kaiaccess', 'min']","['kenapa', 'gabisa', 'pake', 'ovo', 'buat', 'bayar', 'kaiaccess', 'min']",kenapa gabisa pake ovo buat bayar kaiaccess min,@KAI121 kenapa gabisa pake ovo buat pembayaran kaiaccess min ?,@KAI121 kenapa gabisa pake ovo buat pembayaran kaiaccess min ?
,in,0,1608263340564058116,,https://x.com/undefined/status/1608263340564058116,0,1250731212471074816,Thu Dec 29 00:47:15 +0000 2022,@KAI121 min saya mau ubah no. Hp yang ada di kaiaccess. Mohon bantuannya min,2,,KAI121,0,1608263340564058116,@kai121 min saya mau ubah no. hp yang ada di kaiaccess. mohon bantuannya min,min saya mau ubah no hp yang ada di kaiaccess mohon bantuannya min,"['min', 'saya', 'mau', 'ubah', 'no', 'hp', 'yang', 'ada', 'di', 'kaiaccess', 'mohon', 'bantuannya', 'min']","['min', 'saya', 'mau', 'ubah', 'no', 'hp', 'yang', 'ada', 'di', 'kaiaccess', 'mohon', 'bantu', 'min']",min saya mau ubah no hp yang ada di kaiaccess mohon bantu min,@KAI121 min saya mau ubah no. Hp yang ada di kaiaccess. Mohon bantuannya min,@KAI121 min saya mau ubah no. Hp yang ada di kaiaccess. Mohon bantuannya min
,in,0,1608227080503955458,https://pbs.twimg.com/media/FlGZa6HaAAEdOmM.jpg,https://x.com/undefined/status/1608235238366535680,1,120352418,Wed Dec 28 22:55:35 +0000 2022,Waktunya menikmati pemandangan sepanjang perjalanan ini ditemani segelas teh premium nikmat dan segar. Pesannya tadi lewat #KAIAccess dan bayarnya pakai gopay. Mudah dan praktis. @KAI121 https://t.co/aJlrNQTLUE,1,,gathandoyo,0,1608235238366535680,waktunya menikmati pemandangan sepanjang perjalanan ini ditemani segelas teh premium nikmat dan segar. pesannya tadi lewat #kaiaccess dan bayarnya pakai gopay. mudah dan praktis. @kai121 https://t.co/ajlrnqtlue,waktunya menikmati pemandangan sepanjang perjalanan ini ditemani segelas teh premium nikmat dan segar pesannya tadi lewat kaiaccess dan bayarnya pakai gopay mudah dan praktis,"['waktunya', 'menikmati', 'pemandangan', 'sepanjang', 'perjalanan', 'ini', 'ditemani', 'segelas', 'teh', 'premium', 'nikmat', 'dan', 'segar', 'pesannya', 'tadi', 'lewat', 'kaiaccess', 'dan', 'bayarnya', 'pakai', 'gopay', 'mudah', 'dan', 'praktis']","['waktu', 'nikmat', 'pandang', 'panjang', 'jalan', 'ini', 'tani', 'gelas', 'teh', 'premium', 'nikmat', 'dan', 'segar', 'pesan', 'tadi', 'lewat', 'kaiaccess', 'dan', 'bayar', 'pakai', 'gopay', 'mudah', 'dan', 'praktis']",waktu nikmat pandang panjang jalan ini tani gelas teh premium nikmat dan segar pesan tadi lewat kaiaccess dan bayar pakai gopay mudah dan praktis,Waktunya menikmati pemandangan sepanjang perjalanan ini ditemani segelas teh premium nikmat dan segar. Pesannya tadi lewat #KAIAccess dan bayarnya pakai gopay. Mudah dan praktis. @KAI121 https://t.co/aJlrNQTLUE,Waktunya menikmati pemandangan sepanjang perjalanan ini ditemani segelas teh premium nikmat dan segar. Pesannya tadi lewat #KAIAccess dan bayarnya pakai gopay. Mudah dan praktis. @KAI121 https://t.co/aJlrNQTLUE
,in,0,1608049638111850496,,https://x.com/undefined/status/1608049638111850496,0,967360502652223489,Wed Dec 28 10:38:04 +0000 2022,@KAI121 kenapa KAIAccess dari kemaren susah di acces loading terus,0,,KAI121,0,1608049638111850496,@kai121 kenapa kaiaccess dari kemaren susah di acces loading terus,kenapa kaiaccess dari kemaren susah di acces loading terus,"['kenapa', 'kaiaccess', 'dari', 'kemaren', 'susah', 'di', 'acces', 'loading', 'terus']","['kenapa', 'kaiaccess', 'dari', 'kemaren', 'susah', 'di', 'acces', 'loading', 'terus']",kenapa kaiaccess dari kemaren susah di acces loading terus,@KAI121 kenapa KAIAccess dari kemaren susah di acces loading terus,@KAI121 kenapa KAIAccess dari kemaren susah di acces loading terus
,in,0,1607954768332492802,,https://x.com/undefined/status/1607954768332492802,0,1010877687932440577,Wed Dec 28 04:21:05 +0000 2022,@KAI121 halo saya abis beli tiket kereta di aplikasi kaiaccess udah saya bayar saldo saya kepotong tapi tiketnya belum kebeli sedangkan batas waktu habis dan tiket ga terbit,1,,KAI121,0,1607954768332492802,@kai121 halo saya abis beli tiket kereta di aplikasi kaiaccess udah saya bayar saldo saya kepotong tapi tiketnya belum kebeli sedangkan batas waktu habis dan tiket ga terbit,halo saya abis beli tiket kereta di aplikasi kaiaccess udah saya bayar saldo saya kepotong tapi tiketnya belum kebeli sedangkan batas waktu habis dan tiket ga terbit,"['halo', 'saya', 'abis', 'beli', 'tiket', 'kereta', 'di', 'aplikasi', 'kaiaccess', 'udah', 'saya', 'bayar', 'saldo', 'saya', 'kepotong', 'tapi', 'tiketnya', 'belum', 'kebeli', 'sedangkan', 'batas', 'waktu', 'habis', 'dan', 'tiket', 'ga', 'terbit']","['halo', 'saya', 'abis', 'beli', 'tiket', 'kereta', 'di', 'aplikasi', 'kaiaccess', 'udah', 'saya', 'bayar', 'saldo', 'saya', 'potong', 'tapi', 'tiket', 'belum', 'kebel', 'sedang', 'batas', 'waktu', 'habis', 'dan', 'tiket', 'ga', 'terbit']",halo saya abis beli tiket kereta di aplikasi kaiaccess udah saya bayar saldo saya potong tapi tiket belum kebel sedang batas waktu habis dan tiket ga terbit,@KAI121 halo saya abis beli tiket kereta di aplikasi kaiaccess udah saya bayar saldo saya kepotong tapi tiketnya belum kebeli sedangkan batas waktu habis dan tiket ga terbit,@KAI121 halo saya abis beli tiket kereta di aplikasi kaiaccess udah saya bayar saldo saya kepotong tapi tiketnya belum kebeli sedangkan batas waktu habis dan tiket ga terbit
,in,0,1607943108934914049,,https://x.com/undefined/status/1607943108934914049,0,71733078,Wed Dec 28 03:34:45 +0000 2022,@KAI121 min aplikasi kaiaccess lagi ngadat kah? berat banget skg ngeload datanya. giliran udah tampil sering banget gabisa diproses munculnya server bekerja terlalu keras. Kalian ada masalah apa? tolong segera cari bantuan biar segera maksimal dalam pelayanan.,1,,KAI121,0,1607943108934914049,@kai121 min aplikasi kaiaccess lagi ngadat kah? berat banget skg ngeload datanya. giliran udah tampil sering banget gabisa diproses munculnya server bekerja terlalu keras. kalian ada masalah apa? tolong segera cari bantuan biar segera maksimal dalam pelayanan.,min aplikasi kaiaccess lagi ngadat kah berat banget skg ngeload datanya giliran udah tampil sering banget gabisa diproses munculnya server bekerja terlalu keras kalian ada masalah apa tolong segera cari bantuan biar segera maksimal dalam pelayanan,"['min', 'aplikasi', 'kaiaccess', 'lagi', 'ngadat', 'kah', 'berat', 'banget', 'skg', 'ngeload', 'datanya', 'giliran', 'udah', 'tampil', 'sering', 'banget', 'gabisa', 'diproses', 'munculnya', 'server', 'bekerja', 'terlalu', 'keras', 'kalian', 'ada', 'masalah', 'apa', 'tolong', 'segera', 'cari', 'bantuan', 'biar', 'segera', 'maksimal', 'dalam', 'pelayanan']","['min', 'aplikasi', 'kaiaccess', 'lagi', 'ngadat', 'kah', 'berat', 'banget', 'skg', 'ngeload', 'data', 'gilir', 'udah', 'tampil', 'sering', 'banget', 'gabisa', 'proses', 'muncul', 'server', 'kerja', 'terlalu', 'keras', 'kalian', 'ada', 'masalah', 'apa', 'tolong', 'segera', 'cari', 'bantu', 'biar', 'segera', 'maksimal', 'dalam', 'layan']",min aplikasi kaiaccess lagi ngadat kah berat banget skg ngeload data gilir udah tampil sering banget gabisa proses muncul server kerja terlalu keras kalian ada masalah apa tolong segera cari bantu biar segera maksimal dalam layan,@KAI121 min aplikasi kaiaccess lagi ngadat kah? berat banget skg ngeload datanya. giliran udah tampil sering banget gabisa diproses munculnya server bekerja terlalu keras. Kalian ada masalah apa? tolong segera cari bantuan biar segera maksimal dalam pelayanan.,@KAI121 min aplikasi kaiaccess lagi ngadat kah? berat banget skg ngeload datanya. giliran udah tampil sering banget gabisa diproses munculnya server bekerja terlalu keras. Kalian ada masalah apa? tolong segera cari bantuan biar segera maksimal dalam pelayanan.
,in,0,1607879185586061312,,https://x.com/undefined/status/1607879185586061312,3,438072886,Tue Dec 27 23:20:45 +0000 2022,ada yang tau jam buka loket stasiun sidoarjo beli tiket kereta bukanya jam berapa? mau beli tiket yg keberangkatan pagi soalnya takut belum buka beli nde kaiaccess ga punya saldo samsek :( Sdf!,3,,,0,1607879185586061312,ada yang tau jam buka loket stasiun sidoarjo beli tiket kereta bukanya jam berapa? mau beli tiket yg keberangkatan pagi soalnya takut belum buka beli nde kaiaccess ga punya saldo samsek :( sdf!,ada yang tau jam buka loket stasiun sidoarjo beli tiket kereta bukanya jam berapa mau beli tiket yg keberangkatan pagi soalnya takut belum buka beli nde kaiaccess ga punya saldo samsek sdf,"['ada', 'yang', 'tau', 'jam', 'buka', 'loket', 'stasiun', 'sidoarjo', 'beli', 'tiket', 'kereta', 'bukanya', 'jam', 'berapa', 'mau', 'beli', 'tiket', 'yg', 'keberangkatan', 'pagi', 'soalnya', 'takut', 'belum', 'buka', 'beli', 'nde', 'kaiaccess', 'ga', 'punya', 'saldo', 'samsek', 'sdf']","['ada', 'yang', 'tau', 'jam', 'buka', 'loket', 'stasiun', 'sidoarjo', 'beli', 'tiket', 'kereta', 'buka', 'jam', 'berapa', 'mau', 'beli', 'tiket', 'yg', 'berangkat', 'pagi', 'soal', 'takut', 'belum', 'buka', 'beli', 'nde', 'kaiaccess', 'ga', 'punya', 'saldo', 'samsek', 'sdf']",ada yang tau jam buka loket stasiun sidoarjo beli tiket kereta buka jam berapa mau beli tiket yg berangkat pagi soal takut belum buka beli nde kaiaccess ga punya saldo samsek sdf,ada yang tau jam buka loket stasiun sidoarjo beli tiket kereta bukanya jam berapa? mau beli tiket yg keberangkatan pagi soalnya takut belum buka beli nde kaiaccess ga punya saldo samsek :( Sdf!,ada yang tau jam buka loket stasiun sidoarjo beli tiket kereta bukanya jam berapa? mau beli tiket yg keberangkatan pagi soalnya takut belum buka beli nde kaiaccess ga punya saldo samsek :( Sdf!
,in,0,1607755461062950912,https://pbs.twimg.com/ext_tw_video_thumb/1607755416481730566/pu/img/US08gYz5-3JV9uh7.jpg,https://x.com/undefined/status/1607755461062950912,0,414602951,Tue Dec 27 15:09:07 +0000 2022,Halo @KAI121 apps nya lagi under constructions apa jaringan sinyal @myXLCare yg kurang baik di Cilacap? Bolak-balik-bolak matiin mode pesawat masuk App #KaiAccess ga bisa² mau pesen tiket aja masha alloh sabar...sabar... https://t.co/bbx3ZOOaCv,2,,,0,1607755461062950912,halo @kai121 apps nya lagi under constructions apa jaringan sinyal @myxlcare yg kurang baik di cilacap? bolak-balik-bolak matiin mode pesawat masuk app #kaiaccess ga bisa² mau pesen tiket aja masha alloh sabar...sabar... https://t.co/bbx3zooacv,halo apps nya lagi under constructions apa jaringan sinyal yg kurang baik di cilacap bolak balik bolak matiin mode pesawat masuk app kaiaccess ga bisa² mau pesen tiket aja masha alloh sabar sabar,"['halo', 'apps', 'nya', 'lagi', 'under', 'constructions', 'apa', 'jaringan', 'sinyal', 'yg', 'kurang', 'baik', 'di', 'cilacap', 'bolak', 'balik', 'bolak', 'matiin', 'mode', 'pesawat', 'masuk', 'app', 'kaiaccess', 'ga', 'bisa²', 'mau', 'pesen', 'tiket', 'aja', 'masha', 'alloh', 'sabar', 'sabar']","['halo', 'apps', 'nya', 'lagi', 'under', 'constructions', 'apa', 'jaring', 'sinyal', 'yg', 'kurang', 'baik', 'di', 'cilacap', 'bolak', 'balik', 'bolak', 'matiin', 'mode', 'pesawat', 'masuk', 'app', 'kaiaccess', 'ga', 'bisa', 'mau', 'sen', 'tiket', 'aja', 'masha', 'alloh', 'sabar', 'sabar']",halo apps nya lagi under constructions apa jaring sinyal yg kurang baik di cilacap bolak balik bolak matiin mode pesawat masuk app kaiaccess ga bisa mau sen tiket aja masha alloh sabar sabar,Halo @KAI121 apps nya lagi under constructions apa jaringan sinyal @myXLCare yg kurang baik di Cilacap? Bolak-balik-bolak matiin mode pesawat masuk App #KaiAccess ga bisa² mau pesen tiket aja masha alloh sabar...sabar... https://t.co/bbx3ZOOaCv,Halo @KAI121 apps nya lagi under constructions apa jaringan sinyal @myXLCare yg kurang baik di Cilacap? Bolak-balik-bolak matiin mode pesawat masuk App #KaiAccess ga bisa² mau pesen tiket aja masha alloh sabar...sabar... https://t.co/bbx3ZOOaCv
,in,0,1607603636284325890,,https://x.com/undefined/status/1607603636284325890,0,359810843,Tue Dec 27 05:05:49 +0000 2022,@KAI121 Hallo @KAI121 kenapaa app KAIaccess tidak bisa digunakan yaa?,0,,KAI121,0,1607603636284325890,@kai121 hallo @kai121 kenapaa app kaiaccess tidak bisa digunakan yaa?,hallo kenapaa app kaiaccess tidak bisa digunakan yaa,"['hallo', 'kenapaa', 'app', 'kaiaccess', 'tidak', 'bisa', 'digunakan', 'yaa']","['hallo', 'kenapaa', 'app', 'kaiaccess', 'tidak', 'bisa', 'guna', 'yaa']",hallo kenapaa app kaiaccess tidak bisa guna yaa,@KAI121 Hallo @KAI121 kenapaa app KAIaccess tidak bisa digunakan yaa?,@KAI121 Hallo @KAI121 kenapaa app KAIaccess tidak bisa digunakan yaa?
