id_str,created_at,user_id_str,conversation_id_str,TEXT,LABEL
1608764220451213313,Fri Dec 30 09:57:34 +0000 2022,230609460,1608764220451213313,udah beli tiket di aplikasi kaiaccess dan saat pembelian dan pembayaran mengikutsertakan asuransi perjalanan sompo insurance indonesia tetapi belum ada imel masuk dari asuransi utk polisnya bagaimana ini,
1608631716184489986,Fri Dec 30 01:11:02 +0000 2022,1158718283870138368,1608631716184489986,kenapa gabisa pake ovo buat pembayaran kaiaccess min,
1608263340564058116,Thu Dec 29 00:47:15 +0000 2022,1250731212471074816,1608263340564058116,min saya mau ubah no hp yang ada di kaiaccess mohon bantuannya min,
1608235238366535680,Wed Dec 28 22:55:35 +0000 2022,120352418,1608227080503955458,waktunya menikmati pemandangan sepanjang perjalanan ini ditemani segelas teh premium nikmat dan segar pesannya tadi lewat kaiaccess dan bayarnya pakai gopay mudah dan praktis,
1608049638111850496,Wed Dec 28 10:38:04 +0000 2022,967360502652223489,1608049638111850496,kenapa kaiaccess dari kemaren susah di acces loading terus,
1607954768332492802,Wed Dec 28 04:21:05 +0000 2022,1010877687932440577,1607954768332492802,halo saya abis beli tiket kereta di aplikasi kaiaccess udah saya bayar saldo saya kepotong tapi tiketnya belum kebeli sedangkan batas waktu habis dan tiket ga terbit,
1607943108934914049,Wed Dec 28 03:34:45 +0000 2022,71733078,1607943108934914049,min aplikasi kaiaccess lagi ngadat kah berat banget skg ngeload datanya giliran udah tampil sering banget gabisa diproses munculnya server bekerja terlalu keras kalian ada masalah apa tolong segera cari bantuan biar segera maksimal dalam pelayanan,
1607879185586061312,Tue Dec 27 23:20:45 +0000 2022,438072886,1607879185586061312,ada yang tau jam buka loket stasiun sidoarjo beli tiket kereta bukanya jam berapa mau beli tiket yg keberangkatan pagi soalnya takut belum buka beli nde kaiaccess ga punya saldo samsek sdf,
1607755461062950912,Tue Dec 27 15:09:07 +0000 2022,414602951,1607755461062950912,halo apps nya lagi under constructions apa jaringan sinyal yg kurang baik di cilacap bolak balik bolak matiin mode pesawat masuk app kaiaccess ga bisa² mau pesen tiket aja masha alloh sabar sabar,
1607603636284325890,Tue Dec 27 05:05:49 +0000 2022,359810843,1607603636284325890,hallo kenapaa app kaiaccess tidak bisa digunakan yaa,
1607588830529585153,Tue Dec 27 04:06:59 +0000 2022,359810843,1607527564641439744,hallo kenapaa app kaiaccess tidak bisa digunakan yaa,
1607510881843425281,Mon Dec 26 22:57:14 +0000 2022,1225682846276210690,1607510881843425281,min min apalikasi kaiaccess error ya please benerin butuh bgt right now,
1607483226922307586,Mon Dec 26 21:07:21 +0000 2022,83077302,1607483226922307586,min server kaiaccess bermasalah ya mau pesen tiket lokal dari tadi ga bisa bisa server sedang bekerja keras katanya,
1607271726261604352,Mon Dec 26 07:06:55 +0000 2022,188367402,1607271676445876224,note kurang²in gimmick kereta panoramic dan kereta wisata fafifu wasweswos yg ngendorse pake seleb keretapanoramics tiketkeretamahal kaiaccess,
1607140405602320384,Sun Dec 25 22:25:06 +0000 2022,822707634562154496,1607140087795683330,klo udh bisa beli lewat kaiaccess berarti udh valid vaksinnya skrg semua data sudah sync lewat nik kamu,
1606721995961683968,Sat Dec 24 18:42:29 +0000 2022,906453003640520704,1606721995961683968,min cara hapus booking pemesanan tiket a n orang lain di kaiaccess gimana ya biar kode booking bisa d tambah ke akun kaiaccess penumpang,
1606436098590347264,Fri Dec 23 23:46:26 +0000 2022,262085343,1606434945018531841,biasanya pesen tiket via kaiaccess biar gausah cetak boarding pass tp krn bbrp mgg kmrn ada drama nomor keblokir jd gbs pesen dan akhirnya pesan di merchant lain gpp sih cuma ya itu jd harus cetak boarding pass dulu,
1606061695025270803,Thu Dec 22 22:58:41 +0000 2022,291519931,1606061695025270803,min saya cek kaiaccess kereta baturraden ekspress kok tidak bisa dipesan di tgl 2 januari ya padahal pengumumannya tersedia dari 22 desember 2022 8 januari 2023,
1605438833230651397,Wed Dec 21 05:43:40 +0000 2022,1280067141220196352,1605438833230651397,kode ini suka gk pasti si yg jelas kalo pesen di kaiaccess pas mau pesen itu ada keterangan eko 1 ekonomi biasa gerbong 1 atau pre 1 ekonomi premium gerbong 1 biar next gk salah kereta tapi memang menyayangkan dengan fasilitas yg jelas ekonomi biasa ini dihargai 400k,
1604693656971411456,Mon Dec 19 04:22:36 +0000 2022,1336127263201320961,1604494208282546176,sering2 cek nder pake app kaiaccess biasane ada yg batalin malem nanti atau besok saranku nek ketemu 1 lgsung gercep pesen ga usah milih2 kursi langsung neng pembayaran pokok,
1604342468983410688,Sun Dec 18 05:07:06 +0000 2022,1339513659375042561,1604284488070008833,cek kaiaccess nder kemaren liat dari jkt ke jogja sisa yang 400an,
1602219522882424832,Mon Dec 12 08:31:16 +0000 2022,1519685530388406275,1601768847300001793,halo ini aplikasi kaiaccess sedang tidak bisa digunakan ya,
1602215284190113792,Mon Dec 12 08:14:26 +0000 2022,1215659753147228160,1602215284190113792,pesennya sih masih jam 11 45 dan nggk sadar kalo ada promo kai pas mau bayar sampe waktunya habis pun di jam 12 51 masih gabisa bayar padahal nggk ikut war tiket cuma mau bayar doang lewat mbanking gabisa kaiaccess kaiaccessdown,
1602195542385520640,Mon Dec 12 06:55:59 +0000 2022,1281585105698357248,1602195542385520640,tolong dong ini gimana bokap lagi ada tugas dadakan n gabisa balik gimana ini kaiaccess,
1602189186114560001,Mon Dec 12 06:30:43 +0000 2022,3007675446,1602189186114560001,gak ada niatan perbaikin aplikasi kkai access min kaiaccess,
1602181132908261377,Mon Dec 12 05:58:43 +0000 2022,511228912,1602181132908261377,bm pingin ke keretaan tapi apa daya kalau pergi nya sendirian gak bs menikmati nikmatnya popmie berdua aishhh kaiaccess,
1601998542482309121,Sun Dec 11 17:53:10 +0000 2022,1545050805601898498,1601998542482309121,minnn ini aku udah kepotong tp kenapa msh belom bisaaaaa sih trs di app belom ditulis udh bs bayar jg,
1601992931254337536,Sun Dec 11 17:30:53 +0000 2022,1091336811371089920,1601992931254337536,mohon diperbaiki dong sistem software aplikasi kaiaccess masuk aplikasi langsung down internetnya mohon tanggapannya gimana mau ikut flashsale,
1601987336925229058,Sun Dec 11 17:08:39 +0000 2022,1080053934528487424,1601987336925229058,ngewar tiket gini mulu masih dapet gk ya kaiaccess,
1598846946726547458,Sat Dec 03 01:09:51 +0000 2022,710394355115286528,1598490106285150208,aku yg baru 2x main ke bandung naik kereta terheran2 dengan parahyangan bisnis ada 3 kemungkinan 1 belum pernah naik kereta 2 dan kl naik kereta aja ga pnh pastiny ga puny aplikasi kaiaccess 3 malas baca pinginnya cepat mangap,
1872846054749815224,Sat Dec 28 03:24:29 +0000 2024,178230025,1872845143210099058,cek kaiaccess dulu,
1871622068237930508,Tue Dec 24 18:20:48 +0000 2024,116428656,1871345142214676789,selamat pagi min untuk pembelian tiket ka dhoho via kaiaccess apakah ada gangguan terima kasih,
1870805854179746091,Sun Dec 22 12:17:28 +0000 2024,1611513806970290176,1870805854179746091,tadi siang iseng ngecek menu lewat kaiaccess pas di ka sancaka hahahahhaha nda jadi pesen,
1870387561027543483,Sat Dec 21 08:35:19 +0000 2024,1382826519744049155,1870387561027543483,grogi taaah sampe lupa password kaiaccess deuh,
1870317921836450049,Sat Dec 21 03:58:36 +0000 2024,1321002256708161537,1870317921836450049,wtb 2 tiket kai kereta lokal cikarang karawang jam 13 20 plis bayar dua kali lipat gapapaa zonauang kereta kaiaccess,
1870317642973941871,Sat Dec 21 03:57:29 +0000 2024,1321002256708161537,1870317642973941871,wts 2 tiket kereta kai lokal cikarang karawang walahar 11 30 21 desember 2024 kai kaiaccess kereta,
1869973209833185607,Fri Dec 20 05:08:50 +0000 2024,1134294052696813568,1869972604699980037,kayak tetep aja khawatir kayak aku td salah masuk gerbong ga ya atau kadang deg2an tiap org lalu lalang merhatiin kursi kita padahal aslinya kita dah bener tp mereka ngira itu kursi mereka dan mungkin bisa menghindari dari perdebatan yang bbrp kali jg terjadi d kaiaccess,
