id_str,created_at,user_id_str,conversation_id_str,full_text,label,text_casefold,text_clean,tokens,tokens_nostop,tokens_stem,text_stemmed,emoji_drop_from_raw,emoji_map_from_raw,emoji_drop_from_stemmed,emoji_map_from_stemmed
1608764220451213313,Fri Dec 30 09:57:34 +0000 2022,230609460,1608764220451213313,udah beli tiket di aplikasi kaiaccess dan saat pembelian dan pembayaran mengikutsertakan asuransi perjalanan Sompo Insurance Indonesia tetapi belum ada imel masuk dari asuransi utk polisnya bagaimana ini @KAI121 ?,NEGATIF,udah beli tiket di aplikasi kaiaccess dan saat pembelian dan pembayaran mengikutsertakan asuransi perjalanan sompo insurance indonesia tetapi belum ada imel masuk dari asuransi utk polisnya bagaimana ini @kai121 ?,udah beli tiket di aplikasi kaiaccess dan saat pembelian dan pembayaran mengikutsertakan asuransi perjalanan sompo insurance indonesia tetapi belum ada imel masuk dari asuransi utk polisnya bagaimana ini,"['udah', 'beli', 'tiket', 'di', 'aplikasi', 'kaiaccess', 'dan', 'saat', 'pembelian', 'dan', 'pembayaran', 'mengikutsertakan', 'asuransi', 'perjalanan', 'sompo', 'insurance', 'indonesia', 'tetapi', 'belum', 'ada', 'imel', 'masuk', 'dari', 'asuransi', 'utk', 'polisnya', 'bagaimana', 'ini']","['udah', 'beli', 'tiket', 'aplikasi', 'pembelian', 'pembayaran', 'mengikutsertakan', 'asuransi', 'perjalanan', 'sompo', 'insurance', 'indonesia', 'imel', 'masuk', 'asuransi', 'utk', 'polisnya', 'bagaimana']","['udah', 'beli', 'tiket', 'aplikasi', 'beli', 'bayar', 'mengikutsertakan', 'asuransi', 'jalan', 'sompo', 'insurance', 'indonesia', 'imel', 'masuk', 'asuransi', 'utk', 'polis', 'bagaimana']",udah beli tiket aplikasi beli bayar mengikutsertakan asuransi jalan sompo insurance indonesia imel masuk asuransi utk polis bagaimana,udah beli tiket di aplikasi kaiaccess dan saat pembelian dan pembayaran mengikutsertakan asuransi perjalanan Sompo Insurance Indonesia tetapi belum ada imel masuk dari asuransi utk polisnya bagaimana ini @KAI121 ?,udah beli tiket di aplikasi kaiaccess dan saat pembelian dan pembayaran mengikutsertakan asuransi perjalanan Sompo Insurance Indonesia tetapi belum ada imel masuk dari asuransi utk polisnya bagaimana ini @KAI121 ?,udah beli tiket aplikasi beli bayar mengikutsertakan asuransi jalan sompo insurance indonesia imel masuk asuransi utk polis bagaimana,udah beli tiket aplikasi beli bayar mengikutsertakan asuransi jalan sompo insurance indonesia imel masuk asuransi utk polis bagaimana
1608631716184489986,Fri Dec 30 01:11:02 +0000 2022,1158718283870138368,1608631716184489986,@KAI121 kenapa gabisa pake ovo buat pembayaran kaiaccess min ?,NEGATIF,@kai121 kenapa gabisa pake ovo buat pembayaran kaiaccess min ?,kenapa gabisa pake ovo buat pembayaran kaiaccess min,"['kenapa', 'gabisa', 'pake', 'ovo', 'buat', 'pembayaran', 'kaiaccess', 'min']","['gabisa', 'pake', 'ovo', 'buat', 'pembayaran']","['gabisa', 'pake', 'ovo', 'buat', 'bayar']",gabisa pake ovo buat bayar,@KAI121 kenapa gabisa pake ovo buat pembayaran kaiaccess min ?,@KAI121 kenapa gabisa pake ovo buat pembayaran kaiaccess min ?,gabisa pake ovo buat bayar,gabisa pake ovo buat bayar
1608263340564058116,Thu Dec 29 00:47:15 +0000 2022,1250731212471074816,1608263340564058116,@KAI121 min saya mau ubah no. Hp yang ada di kaiaccess. Mohon bantuannya min,NETRAL,@kai121 min saya mau ubah no. hp yang ada di kaiaccess. mohon bantuannya min,min saya mau ubah no hp yang ada di kaiaccess mohon bantuannya min,"['min', 'saya', 'mau', 'ubah', 'no', 'hp', 'yang', 'ada', 'di', 'kaiaccess', 'mohon', 'bantuannya', 'min']","['mau', 'ubah', 'no', 'hp', 'bantuannya']","['mau', 'ubah', 'no', 'hp', 'bantu']",mau ubah no hp bantu,@KAI121 min saya mau ubah no. Hp yang ada di kaiaccess. Mohon bantuannya min,@KAI121 min saya mau ubah no. Hp yang ada di kaiaccess. Mohon bantuannya min,mau ubah no hp bantu,mau ubah no hp bantu
1608235238366535680,Wed Dec 28 22:55:35 +0000 2022,120352418,1608227080503955458,Waktunya menikmati pemandangan sepanjang perjalanan ini ditemani segelas teh premium nikmat dan segar. Pesannya tadi lewat #KAIAccess dan bayarnya pakai gopay. Mudah dan praktis. @KAI121 https://t.co/aJlrNQTLUE,POSITIF,waktunya menikmati pemandangan sepanjang perjalanan ini ditemani segelas teh premium nikmat dan segar. pesannya tadi lewat #kaiaccess dan bayarnya pakai gopay. mudah dan praktis. @kai121 https://t.co/ajlrnqtlue,waktunya menikmati pemandangan sepanjang perjalanan ini ditemani segelas teh premium nikmat dan segar pesannya tadi lewat kaiaccess dan bayarnya pakai gopay mudah dan praktis,"['waktunya', 'menikmati', 'pemandangan', 'sepanjang', 'perjalanan', 'ini', 'ditemani', 'segelas', 'teh', 'premium', 'nikmat', 'dan', 'segar', 'pesannya', 'tadi', 'lewat', 'kaiaccess', 'dan', 'bayarnya', 'pakai', 'gopay', 'mudah', 'dan', 'praktis']","['waktunya', 'menikmati', 'pemandangan', 'sepanjang', 'perjalanan', 'ditemani', 'segelas', 'teh', 'premium', 'nikmat', 'segar', 'pesannya', 'tadi', 'lewat', 'bayarnya', 'pakai', 'gopay', 'mudah', 'praktis']","['waktu', 'nikmat', 'pandang', 'panjang', 'jalan', 'tani', 'gelas', 'teh', 'premium', 'nikmat', 'segar', 'pesan', 'tadi', 'lewat', 'bayar', 'pakai', 'gopay', 'mudah', 'praktis']",waktu nikmat pandang panjang jalan tani gelas teh premium nikmat segar pesan tadi lewat bayar pakai gopay mudah praktis,Waktunya menikmati pemandangan sepanjang perjalanan ini ditemani segelas teh premium nikmat dan segar. Pesannya tadi lewat #KAIAccess dan bayarnya pakai gopay. Mudah dan praktis. @KAI121 https://t.co/aJlrNQTLUE,Waktunya menikmati pemandangan sepanjang perjalanan ini ditemani segelas teh premium nikmat dan segar. Pesannya tadi lewat #KAIAccess dan bayarnya pakai gopay. Mudah dan praktis. @KAI121 https://t.co/aJlrNQTLUE,waktu nikmat pandang panjang jalan tani gelas teh premium nikmat segar pesan tadi lewat bayar pakai gopay mudah praktis,waktu nikmat pandang panjang jalan tani gelas teh premium nikmat segar pesan tadi lewat bayar pakai gopay mudah praktis
1608049638111850496,Wed Dec 28 10:38:04 +0000 2022,967360502652223489,1608049638111850496,@KAI121 kenapa KAIAccess dari kemaren susah di acces loading terus,NEGATIF,@kai121 kenapa kaiaccess dari kemaren susah di acces loading terus,kenapa kaiaccess dari kemaren susah di acces loading terus,"['kenapa', 'kaiaccess', 'dari', 'kemaren', 'susah', 'di', 'acces', 'loading', 'terus']","['kemaren', 'susah', 'acces', 'loading', 'terus']","['kemaren', 'susah', 'acces', 'loading', 'terus']",kemaren susah acces loading terus,@KAI121 kenapa KAIAccess dari kemaren susah di acces loading terus,@KAI121 kenapa KAIAccess dari kemaren susah di acces loading terus,kemaren susah acces loading terus,kemaren susah acces loading terus
1607954768332492802,Wed Dec 28 04:21:05 +0000 2022,1010877687932440577,1607954768332492802,@KAI121 halo saya abis beli tiket kereta di aplikasi kaiaccess udah saya bayar saldo saya kepotong tapi tiketnya belum kebeli sedangkan batas waktu habis dan tiket ga terbit,NEGATIF,@kai121 halo saya abis beli tiket kereta di aplikasi kaiaccess udah saya bayar saldo saya kepotong tapi tiketnya belum kebeli sedangkan batas waktu habis dan tiket ga terbit,halo saya abis beli tiket kereta di aplikasi kaiaccess udah saya bayar saldo saya kepotong tapi tiketnya belum kebeli sedangkan batas waktu habis dan tiket ga terbit,"['halo', 'saya', 'abis', 'beli', 'tiket', 'kereta', 'di', 'aplikasi', 'kaiaccess', 'udah', 'saya', 'bayar', 'saldo', 'saya', 'kepotong', 'tapi', 'tiketnya', 'belum', 'kebeli', 'sedangkan', 'batas', 'waktu', 'habis', 'dan', 'tiket', 'ga', 'terbit']","['halo', 'abis', 'beli', 'tiket', 'aplikasi', 'udah', 'bayar', 'saldo', 'kepotong', 'tiketnya', 'kebeli', 'batas', 'waktu', 'habis', 'tiket', 'ga', 'terbit']","['halo', 'abis', 'beli', 'tiket', 'aplikasi', 'udah', 'bayar', 'saldo', 'potong', 'tiket', 'kebel', 'batas', 'waktu', 'habis', 'tiket', 'ga', 'terbit']",halo abis beli tiket aplikasi udah bayar saldo potong tiket kebel batas waktu habis tiket ga terbit,@KAI121 halo saya abis beli tiket kereta di aplikasi kaiaccess udah saya bayar saldo saya kepotong tapi tiketnya belum kebeli sedangkan batas waktu habis dan tiket ga terbit,@KAI121 halo saya abis beli tiket kereta di aplikasi kaiaccess udah saya bayar saldo saya kepotong tapi tiketnya belum kebeli sedangkan batas waktu habis dan tiket ga terbit,halo abis beli tiket aplikasi udah bayar saldo potong tiket kebel batas waktu habis tiket ga terbit,halo abis beli tiket aplikasi udah bayar saldo potong tiket kebel batas waktu habis tiket ga terbit
1607943108934914049,Wed Dec 28 03:34:45 +0000 2022,71733078,1607943108934914049,@KAI121 min aplikasi kaiaccess lagi ngadat kah? berat banget skg ngeload datanya. giliran udah tampil sering banget gabisa diproses munculnya server bekerja terlalu keras. Kalian ada masalah apa? tolong segera cari bantuan biar segera maksimal dalam pelayanan.,NEGATIF,@kai121 min aplikasi kaiaccess lagi ngadat kah? berat banget skg ngeload datanya. giliran udah tampil sering banget gabisa diproses munculnya server bekerja terlalu keras. kalian ada masalah apa? tolong segera cari bantuan biar segera maksimal dalam pelayanan.,min aplikasi kaiaccess lagi ngadat kah berat banget skg ngeload datanya giliran udah tampil sering banget gabisa diproses munculnya server bekerja terlalu keras kalian ada masalah apa tolong segera cari bantuan biar segera maksimal dalam pelayanan,"['min', 'aplikasi', 'kaiaccess', 'lagi', 'ngadat', 'kah', 'berat', 'banget', 'skg', 'ngeload', 'datanya', 'giliran', 'udah', 'tampil', 'sering', 'banget', 'gabisa', 'diproses', 'munculnya', 'server', 'bekerja', 'terlalu', 'keras', 'kalian', 'ada', 'masalah', 'apa', 'tolong', 'segera', 'cari', 'bantuan', 'biar', 'segera', 'maksimal', 'dalam', 'pelayanan']","['aplikasi', 'ngadat', 'berat', 'banget', 'skg', 'ngeload', 'datanya', 'giliran', 'udah', 'tampil', 'sering', 'banget', 'gabisa', 'diproses', 'munculnya', 'server', 'bekerja', 'terlalu', 'keras', 'kalian', 'masalah', 'apa', 'segera', 'cari', 'bantuan', 'biar', 'segera', 'maksimal', 'pelayanan']","['aplikasi', 'ngadat', 'berat', 'banget', 'skg', 'ngeload', 'data', 'gilir', 'udah', 'tampil', 'sering', 'banget', 'gabisa', 'proses', 'muncul', 'server', 'kerja', 'terlalu', 'keras', 'kalian', 'masalah', 'apa', 'segera', 'cari', 'bantu', 'biar', 'segera', 'maksimal', 'layan']",aplikasi ngadat berat banget skg ngeload data gilir udah tampil sering banget gabisa proses muncul server kerja terlalu keras kalian masalah apa segera cari bantu biar segera maksimal layan,@KAI121 min aplikasi kaiaccess lagi ngadat kah? berat banget skg ngeload datanya. giliran udah tampil sering banget gabisa diproses munculnya server bekerja terlalu keras. Kalian ada masalah apa? tolong segera cari bantuan biar segera maksimal dalam pelayanan.,@KAI121 min aplikasi kaiaccess lagi ngadat kah? berat banget skg ngeload datanya. giliran udah tampil sering banget gabisa diproses munculnya server bekerja terlalu keras. Kalian ada masalah apa? tolong segera cari bantuan biar segera maksimal dalam pelayanan.,aplikasi ngadat berat banget skg ngeload data gilir udah tampil sering banget gabisa proses muncul server kerja terlalu keras kalian masalah apa segera cari bantu biar segera maksimal layan,aplikasi ngadat berat banget skg ngeload data gilir udah tampil sering banget gabisa proses muncul server kerja terlalu keras kalian masalah apa segera cari bantu biar segera maksimal layan
1607879185586061312,Tue Dec 27 23:20:45 +0000 2022,438072886,1607879185586061312,ada yang tau jam buka loket stasiun sidoarjo beli tiket kereta bukanya jam berapa? mau beli tiket yg keberangkatan pagi soalnya takut belum buka beli nde kaiaccess ga punya saldo samsek :( Sdf!,NEGATIF,ada yang tau jam buka loket stasiun sidoarjo beli tiket kereta bukanya jam berapa? mau beli tiket yg keberangkatan pagi soalnya takut belum buka beli nde kaiaccess ga punya saldo samsek :( sdf!,ada yang tau jam buka loket stasiun sidoarjo beli tiket kereta bukanya jam berapa mau beli tiket yg keberangkatan pagi soalnya takut belum buka beli nde kaiaccess ga punya saldo samsek sdf,"['ada', 'yang', 'tau', 'jam', 'buka', 'loket', 'stasiun', 'sidoarjo', 'beli', 'tiket', 'kereta', 'bukanya', 'jam', 'berapa', 'mau', 'beli', 'tiket', 'yg', 'keberangkatan', 'pagi', 'soalnya', 'takut', 'belum', 'buka', 'beli', 'nde', 'kaiaccess', 'ga', 'punya', 'saldo', 'samsek', 'sdf']","['tau', 'jam', 'buka', 'loket', 'stasiun', 'sidoarjo', 'beli', 'tiket', 'bukanya', 'jam', 'berapa', 'mau', 'beli', 'tiket', 'yg', 'keberangkatan', 'pagi', 'soalnya', 'takut', 'buka', 'beli', 'nde', 'ga', 'punya', 'saldo', 'samsek', 'sdf']","['tau', 'jam', 'buka', 'loket', 'stasiun', 'sidoarjo', 'beli', 'tiket', 'buka', 'jam', 'berapa', 'mau', 'beli', 'tiket', 'yg', 'berangkat', 'pagi', 'soal', 'takut', 'buka', 'beli', 'nde', 'ga', 'punya', 'saldo', 'samsek', 'sdf']",tau jam buka loket stasiun sidoarjo beli tiket buka jam berapa mau beli tiket yg berangkat pagi soal takut buka beli nde ga punya saldo samsek sdf,ada yang tau jam buka loket stasiun sidoarjo beli tiket kereta bukanya jam berapa? mau beli tiket yg keberangkatan pagi soalnya takut belum buka beli nde kaiaccess ga punya saldo samsek :( Sdf!,ada yang tau jam buka loket stasiun sidoarjo beli tiket kereta bukanya jam berapa? mau beli tiket yg keberangkatan pagi soalnya takut belum buka beli nde kaiaccess ga punya saldo samsek :( Sdf!,tau jam buka loket stasiun sidoarjo beli tiket buka jam berapa mau beli tiket yg berangkat pagi soal takut buka beli nde ga punya saldo samsek sdf,tau jam buka loket stasiun sidoarjo beli tiket buka jam berapa mau beli tiket yg berangkat pagi soal takut buka beli nde ga punya saldo samsek sdf
1607755461062950912,Tue Dec 27 15:09:07 +0000 2022,414602951,1607755461062950912,Halo @KAI121 apps nya lagi under constructions apa jaringan sinyal @myXLCare yg kurang baik di Cilacap? Bolak-balik-bolak matiin mode pesawat masuk App #KaiAccess ga bisa² mau pesen tiket aja masha alloh sabar...sabar... https://t.co/bbx3ZOOaCv,NEGATIF,halo @kai121 apps nya lagi under constructions apa jaringan sinyal @myxlcare yg kurang baik di cilacap? bolak-balik-bolak matiin mode pesawat masuk app #kaiaccess ga bisa² mau pesen tiket aja masha alloh sabar...sabar... https://t.co/bbx3zooacv,halo apps nya lagi under constructions apa jaringan sinyal yg kurang baik di cilacap bolak balik bolak matiin mode pesawat masuk app kaiaccess ga bisa² mau pesen tiket aja masha alloh sabar sabar,"['halo', 'apps', 'nya', 'lagi', 'under', 'constructions', 'apa', 'jaringan', 'sinyal', 'yg', 'kurang', 'baik', 'di', 'cilacap', 'bolak', 'balik', 'bolak', 'matiin', 'mode', 'pesawat', 'masuk', 'app', 'kaiaccess', 'ga', 'bisa²', 'mau', 'pesen', 'tiket', 'aja', 'masha', 'alloh', 'sabar', 'sabar']","['halo', 'apps', 'nya', 'under', 'constructions', 'apa', 'jaringan', 'sinyal', 'yg', 'kurang', 'baik', 'cilacap', 'bolak', 'balik', 'bolak', 'matiin', 'mode', 'pesawat', 'masuk', 'app', 'ga', 'bisa²', 'mau', 'pesen', 'tiket', 'aja', 'masha', 'alloh', 'sabar', 'sabar']","['halo', 'apps', 'nya', 'under', 'constructions', 'apa', 'jaring', 'sinyal', 'yg', 'kurang', 'baik', 'cilacap', 'bolak', 'balik', 'bolak', 'matiin', 'mode', 'pesawat', 'masuk', 'app', 'ga', 'bisa', 'mau', 'sen', 'tiket', 'aja', 'masha', 'alloh', 'sabar', 'sabar']",halo apps nya under constructions apa jaring sinyal yg kurang baik cilacap bolak balik bolak matiin mode pesawat masuk app ga bisa mau sen tiket aja masha alloh sabar sabar,Halo @KAI121 apps nya lagi under constructions apa jaringan sinyal @myXLCare yg kurang baik di Cilacap? Bolak-balik-bolak matiin mode pesawat masuk App #KaiAccess ga bisa² mau pesen tiket aja masha alloh sabar...sabar... https://t.co/bbx3ZOOaCv,Halo @KAI121 apps nya lagi under constructions apa jaringan sinyal @myXLCare yg kurang baik di Cilacap? Bolak-balik-bolak matiin mode pesawat masuk App #KaiAccess ga bisa² mau pesen tiket aja masha alloh sabar...sabar... https://t.co/bbx3ZOOaCv,halo apps nya under constructions apa jaring sinyal yg kurang baik cilacap bolak balik bolak matiin mode pesawat masuk app ga bisa mau sen tiket aja masha alloh sabar sabar,halo apps nya under constructions apa jaring sinyal yg kurang baik cilacap bolak balik bolak matiin mode pesawat masuk app ga bisa mau sen tiket aja masha alloh sabar sabar
1607603636284325890,Tue Dec 27 05:05:49 +0000 2022,359810843,1607603636284325890,@KAI121 Hallo @KAI121 kenapaa app KAIaccess tidak bisa digunakan yaa?,NEGATIF,@kai121 hallo @kai121 kenapaa app kaiaccess tidak bisa digunakan yaa?,hallo kenapaa app kaiaccess tidak bisa digunakan yaa,"['hallo', 'kenapaa', 'app', 'kaiaccess', 'tidak', 'bisa', 'digunakan', 'yaa']","['hallo', 'kenapaa', 'app', 'digunakan', 'yaa']","['hallo', 'kenapaa', 'app', 'guna', 'yaa']",hallo kenapaa app guna yaa,@KAI121 Hallo @KAI121 kenapaa app KAIaccess tidak bisa digunakan yaa?,@KAI121 Hallo @KAI121 kenapaa app KAIaccess tidak bisa digunakan yaa?,hallo kenapaa app guna yaa,hallo kenapaa app guna yaa
