id_str,created_at,full_text,text_stemmed,label
1608764220451213313,Fri Dec 30 09:57:34 +0000 2022,udah beli tiket di aplikasi kaiaccess dan saat pembelian dan pembayaran mengikutsertakan asuransi perjalanan Sompo Insurance Indonesia tetapi belum ada imel masuk dari asuransi utk polisnya bagaimana ini @KAI121 ?,udah beli tiket aplikasi beli bayar mengikutsertakan asuransi jalan sompo insurance indonesia imel masuk asuransi utk polis bagaimana,NEGATIF
1608631716184489986,Fri Dec 30 01:11:02 +0000 2022,@KAI121 kenapa gabisa pake ovo buat pembayaran kaiaccess min ?,gabisa pake ovo buat bayar,NEGATIF
1608263340564058116,Thu Dec 29 00:47:15 +0000 2022,@KAI121 min saya mau ubah no. Hp yang ada di kaiaccess. Mohon bantuannya min,mau ubah no hp bantu,NETRAL
1608235238366535680,Wed Dec 28 22:55:35 +0000 2022,Waktunya menikmati pemandangan sepanjang perjalanan ini ditemani segelas teh premium nikmat dan segar. Pesannya tadi lewat #KAIAccess dan bayarnya pakai gopay. Mudah dan praktis. @KAI121 https://t.co/aJlrNQTLUE,waktu nikmat pandang panjang jalan tani gelas teh premium nikmat segar pesan tadi lewat bayar pakai gopay mudah praktis,POSITIF
1608049638111850496,Wed Dec 28 10:38:04 +0000 2022,@KAI121 kenapa KAIAccess dari kemaren susah di acces loading terus,kemaren susah acces loading terus,NEGATIF
1607954768332492802,Wed Dec 28 04:21:05 +0000 2022,@KAI121 halo saya abis beli tiket kereta di aplikasi kaiaccess udah saya bayar saldo saya kepotong tapi tiketnya belum kebeli sedangkan batas waktu habis dan tiket ga terbit,halo abis beli tiket aplikasi udah bayar saldo potong tiket kebel batas waktu habis tiket ga terbit,NEGATIF
1607943108934914049,Wed Dec 28 03:34:45 +0000 2022,@KAI121 min aplikasi kaiaccess lagi ngadat kah? berat banget skg ngeload datanya. giliran udah tampil sering banget gabisa diproses munculnya server bekerja terlalu keras. Kalian ada masalah apa? tolong segera cari bantuan biar segera maksimal dalam pelayanan.,aplikasi ngadat berat banget skg ngeload data gilir udah tampil sering banget gabisa proses muncul server kerja terlalu keras kalian masalah apa segera cari bantu biar segera maksimal layan,NEGATIF
1607879185586061312,Tue Dec 27 23:20:45 +0000 2022,ada yang tau jam buka loket stasiun sidoarjo beli tiket kereta bukanya jam berapa? mau beli tiket yg keberangkatan pagi soalnya takut belum buka beli nde kaiaccess ga punya saldo samsek :( Sdf!,tau jam buka loket stasiun sidoarjo beli tiket buka jam berapa mau beli tiket yg berangkat pagi soal takut buka beli nde ga punya saldo samsek sdf,NEGATIF
1607755461062950912,Tue Dec 27 15:09:07 +0000 2022,Halo @KAI121 apps nya lagi under constructions apa jaringan sinyal @myXLCare yg kurang baik di Cilacap? Bolak-balik-bolak matiin mode pesawat masuk App #KaiAccess ga bisa² mau pesen tiket aja masha alloh sabar...sabar... https://t.co/bbx3ZOOaCv,halo apps nya under constructions apa jaring sinyal yg kurang baik cilacap bolak balik bolak matiin mode pesawat masuk app ga bisa mau sen tiket aja masha alloh sabar sabar,NEGATIF
1607603636284325890,Tue Dec 27 05:05:49 +0000 2022,@KAI121 Hallo @KAI121 kenapaa app KAIaccess tidak bisa digunakan yaa?,hallo kenapaa app guna yaa,NEGATIF
1607588830529585153,Tue Dec 27 04:06:59 +0000 2022,@KAI121 Hallo @KAI121 kenapaa app KAIaccess tidak bisa digunakan yaa?,hallo kenapaa app guna yaa,NEGATIF
1607510881843425281,Mon Dec 26 22:57:14 +0000 2022,Min min @KAI121 apalikasi kaiaccess error ya? Please benerin butuh bgt right now! :),apalikasi error please benerin butuh bgt right now,NEGATIF
1607483226922307586,Mon Dec 26 21:07:21 +0000 2022,Min server KAIaccess bermasalah ya @KAI121 @CommuterLine mau pesen tiket lokal dari tadi ga bisa-bisa. Server sedang bekerja keras katanya ,server masalah mau sen tiket lokal tadi ga server sedang kerja keras kata,NEGATIF
1607271726261604352,Mon Dec 26 07:06:55 +0000 2022,**note: kurang²in gimmick kereta panoramic dan kereta wisata fafifu wasweswos yg ngendorse pake seleb. @KAI121 @KemenBUMN @kemenhub151 @erickthohir #KeretaPanoramics #TiketKeretaMahal #KAIAccess,note kurang in gimmick panoramic wisata fafifu wasweswos yg ngendorse pake seleb keretapanoramics tiketkeretamahal,NEGATIF
1607140405602320384,Sun Dec 25 22:25:06 +0000 2022,@undipmenfess Klo udh bisa beli lewat KAIaccess berarti udh valid vaksinnya. Skrg semua data sudah sync lewat NIK kamu,klo udh beli lewat arti udh valid vaksin skrg semua data sync lewat nik kamu,POSITIF
1606721995961683968,Sat Dec 24 18:42:29 +0000 2022,Min @KAI121 cara hapus booking pemesanan tiket a.n. orang lain di KAIAccess gimana ya biar kode booking bisa d tambah ke akun KAIAccess penumpang?,cara hapus booking mesan tiket a n orang gimana biar kode booking d tambah akun tumpang,NETRAL
1606436098590347264,Fri Dec 23 23:46:26 +0000 2022,Biasanya pesen tiket via kaiaccess biar gausah cetak boarding pass tp krn bbrp mgg kmrn ada drama nomor keblokir jd gbs pesen dan akhirnya pesan di merchant lain. Gpp sih cuma ya itu jd harus cetak boarding pass dulu ,biasa sen tiket via biar gausah cetak boarding pass tp krn bbrp mgg kmrn drama nomor blokir jd gbs sen akhir pesan merchant gpp sih cuma jd cetak boarding pass dulu,NEGATIF
